Summary
Project;EPS - Home team (0-0)  
Date;23-05-2026
Competition;
Season;
Local Team;EPS
Visitor Team;Home team
Result;0 - 0

CATEGORY: Pass
Name;Time;Start;Stop;Team;Player;Pass;Through pass;Cross;Throw-in;Corner;Free kick;assist;progressive ;goal kick;success;failed
Pass 027;8:09,267;8:03,267;8:13,267;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 028;8:14,747;8:08,747;8:18,747;;;1;0;0;0;0;0;0;0;0;0;1
Pass 029;8:24,447;8:18,447;8:28,447;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;0;1
Pass 030;8:50,487;8:44,487;8:54,487;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;1;0
Pass 031;8:51,487;8:45,487;8:55,487;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 032;8:52,927;8:46,927;8:56,927;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 033;9:24,287;9:18,287;9:28,287;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;0;1
Pass 034;9:54,187;9:48,187;9:58,187;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 035;9:57,547;9:51,547;10:01,547;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 036;10:03,547;9:57,547;10:07,547;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;0;1
Pass 037;10:23,427;10:17,427;10:27,427;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 038;10:28,567;10:22,567;10:32,567;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 039;10:30,867;10:24,867;10:34,867;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 040;10:32,867;10:26,867;10:36,867;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 041;10:36,767;10:30,767;10:40,767;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 042;11:13,547;11:07,547;11:17,547;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 043;12:13,247;12:07,247;12:17,247;;10-Talvitie E. ;0;0;0;0;1;0;0;0;0;0;1
Pass 044;12:28,847;12:22,847;12:32,847;;15-laine S. ;0;0;0;1;0;0;0;0;0;1;0
Pass 045;12:52,227;12:46,227;12:56,227;;10-Talvitie E. ;0;0;0;0;1;0;0;0;0;0;1
Pass 046;13:29,307;13:23,307;13:33,307;;10-Talvitie E. ;0;0;0;0;1;0;0;0;0;1;0
Pass 047;14:04,347;13:58,347;14:08,347;;10-Talvitie E. ;0;0;0;0;1;0;0;0;0;0;1
Pass 048;14:38,167;14:32,167;14:42,167;;15-laine S. ;0;0;0;1;0;0;0;0;0;1;0
Pass 049;16:49,667;16:43,667;16:53,667;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 050;16:51,347;16:45,347;16:55,347;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 051;17:04,327;16:58,327;17:08,327;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 052;17:04,707;16:58,707;17:08,707;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;0;1
Pass 053;17:13,487;17:07,487;17:17,487;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 054;17:16,147;17:10,147;17:20,147;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 055;17:18,227;17:12,227;17:22,227;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 056;17:24,747;17:18,747;17:28,747;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 057;17:28,027;17:22,027;17:32,027;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 058;17:32,867;17:26,867;17:36,867;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;0;1
Pass 059;17:40,047;17:34,047;17:44,047;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;1;0
Pass 060;17:41,567;17:35,567;17:45,567;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 061;17:44,467;17:38,467;17:48,467;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 062;18:16,087;18:10,087;18:20,087;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 063;18:18,407;18:12,407;18:22,407;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 064;18:20,607;18:14,607;18:24,607;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 065;18:22,987;18:16,987;18:26,987;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 066;18:26,247;18:20,247;18:30,247;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;0;1
Pass 067;18:29,527;18:23,527;18:33,527;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 068;19:07,027;19:01,027;19:11,027;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 069;19:35,087;19:29,087;19:39,087;;15-laine S. ;0;0;0;1;0;0;0;0;0;1;0
Pass 070;19:42,387;19:36,387;19:46,387;;15-laine S. ;0;0;0;1;0;0;0;0;0;1;0
Pass 071;19:46,607;19:40,607;19:50,607;;9-Pinomaa A. ;0;0;1;0;0;0;0;0;0;0;1
Pass 072;20:31,107;20:25,107;20:35,107;;15-laine S. ;0;0;0;1;0;0;0;0;0;1;0
Pass 073;20:31,387;20:25,387;20:35,387;;29-Haapalainen R. ;1;0;0;0;0;0;0;0;0;1;0
Pass 074;20:36,307;20:30,307;20:40,307;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 075;20:36,667;20:30,667;20:40,667;;28-Rönni T. ;0;1;0;0;0;0;0;0;0;1;0
Pass 076;21:46,127;21:40,127;21:50,127;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 077;22:36,667;22:30,667;22:40,667;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 078;23:07,257;23:01,257;23:11,257;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 079;23:09,057;23:03,057;23:13,057;;9-Pinomaa A. ;0;1;0;0;0;0;0;0;0;1;0
Pass 080;23:18,117;23:12,117;23:22,117;;29-Haapalainen R. ;0;0;1;0;0;0;0;0;0;0;1
Pass 081;23:19,797;23:13,797;23:23,797;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 082;23:21,537;23:15,537;23:25,537;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 083;23:24,737;23:18,737;23:28,737;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 084;23:25,017;23:19,017;23:29,017;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 085;23:31,877;23:25,877;23:35,877;;6-Marshall P. ;0;1;0;0;0;0;0;0;0;0;1
Pass 086;24:15,877;24:09,877;24:19,877;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 087;24:17,317;24:11,317;24:21,317;;9-Pinomaa A. ;1;0;0;0;0;0;0;0;0;1;0
Pass 088;24:18,617;24:12,617;24:22,617;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 089;24:20,697;24:14,697;24:24,697;;9-Pinomaa A. ;1;0;0;0;0;0;0;0;0;1;0
Pass 090;25:34,737;25:28,737;25:38,737;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;0;1
Pass 091;25:57,377;25:51,377;26:01,377;;15-laine S. ;0;0;0;1;0;0;0;0;0;0;1
Pass 092;27:27,077;27:21,077;27:31,077;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;0;1;1;0
Pass 093;27:29,317;27:23,317;27:33,317;;15-laine S. ;1;0;0;0;0;0;0;0;0;0;1
Pass 094;27:57,997;27:51,997;28:01,997;;8-O. Adawi ;0;1;0;0;0;0;0;0;0;1;0
Pass 095;28:03,057;27:57,057;28:07,057;;9-Pinomaa A. ;0;0;1;0;0;0;0;0;0;0;1
Pass 096;28:41,237;28:35,237;28:45,237;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 097;28:48,197;28:42,197;28:52,197;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 098;28:49,457;28:43,457;28:53,457;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 099;28:51,197;28:45,197;28:55,197;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 100;28:56,317;28:50,317;29:00,317;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;1;0;1;0
Pass 101;28:56,577;28:50,577;29:00,577;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 102;29:01,717;28:55,717;29:05,717;;24-Asikainen E. ;0;1;0;0;0;0;0;0;0;0;1
Pass 103;29:30,777;29:24,777;29:34,777;;15-laine S. ;0;0;0;1;0;0;0;0;0;0;1
Pass 104;30:04,977;29:58,977;30:08,977;;;0;0;0;1;0;0;0;0;0;0;1
Pass 105;30:16,437;30:10,437;30:20,437;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 106;30:22,497;30:16,497;30:26,497;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;0;1
Pass 107;30:57,617;30:51,617;31:01,617;;15-laine S. ;0;0;0;1;0;0;0;0;0;1;0
Pass 108;30:59,697;30:53,697;31:03,697;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 109;31:01,857;30:55,857;31:05,857;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 110;31:35,337;31:29,337;31:39,337;;6-Marshall P. ;0;1;0;0;0;0;0;0;0;0;1
Pass 111;34:05,459;33:59,459;34:09,459;;4-Paappanen E. ;0;0;0;0;0;1;0;0;0;0;1
Pass 112;34:25,219;34:19,219;34:29,219;;15-laine S. ;0;0;0;1;0;0;0;0;0;0;1
Pass 113;36:07,499;36:01,499;36:11,499;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 114;36:12,859;36:06,859;36:16,859;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 115;36:35,099;36:29,099;36:39,099;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 116;36:37,219;36:31,219;36:41,219;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 117;36:42,839;36:36,839;36:46,839;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 118;36:44,259;36:38,259;36:48,259;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 119;37:55,719;37:49,719;37:59,719;;5-Margaritidis Angelos Nikolaos ;0;0;0;0;0;1;0;0;0;1;0
Pass 120;38:01,319;37:55,319;38:05,319;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 121;38:18,399;38:12,399;38:22,399;;15-laine S. ;0;0;0;1;0;0;0;0;0;0;1
Pass 122;39:13,479;39:07,479;39:17,479;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 123;40:22,779;40:16,779;40:26,779;;6-Marshall P. ;0;0;0;1;0;0;0;0;0;1;0
Pass 124;40:25,859;40:19,859;40:29,859;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;0;1
Pass 125;40:43,639;40:37,639;40:47,639;;4-Paappanen E. ;0;0;0;0;0;1;0;0;0;1;0
Pass 126;40:47,359;40:41,359;40:51,359;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 127;40:48,879;40:42,879;40:52,879;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 128;40:51,919;40:45,919;40:55,919;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 129;40:54,519;40:48,519;40:58,519;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 130;40:56,479;40:50,479;41:00,479;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;0;1
Pass 131;41:00,519;40:54,519;41:04,519;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 132;41:05,099;40:59,099;41:09,099;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;1;0
Pass 133;41:07,899;41:01,899;41:11,899;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 134;41:10,839;41:04,839;41:14,839;;28-Rönni T. ;0;0;1;0;0;0;0;0;0;0;1
Pass 135;42:01,079;41:55,079;42:05,079;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 136;42:04,739;41:58,739;42:08,739;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 137;42:11,159;42:05,159;42:15,159;;29-Haapalainen R. ;1;0;0;0;0;0;0;0;0;1;0
Pass 138;42:13,179;42:07,179;42:17,179;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 139;42:54,299;42:48,299;42:58,299;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 140;42:57,059;42:51,059;43:01,059;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 141;43:01,679;42:55,679;43:05,679;;9-Pinomaa A. ;1;0;0;0;0;0;0;0;0;1;0
Pass 142;44:13,419;44:07,419;44:17,419;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 143;44:17,879;44:11,879;44:21,879;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 144;45:12,619;45:06,619;45:16,619;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;0;1
Pass 145;45:22,459;45:16,459;45:26,459;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 146;46:11,999;46:05,999;46:15,999;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;1;0;0;1
Pass 147;1:01:44,699;1:01:38,699;1:01:48,699;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 148;1:01:50,439;1:01:44,439;1:01:54,439;;;1;0;0;0;0;0;0;0;0;0;1
Pass 149;1:01:54,779;1:01:48,779;1:01:58,779;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 150;1:01:59,219;1:01:53,219;1:02:03,219;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;1;0;1;0
Pass 151;1:02:05,979;1:01:59,979;1:02:09,979;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 152;1:02:08,719;1:02:02,719;1:02:12,719;;29-Haapalainen R. ;0;0;1;0;0;0;0;0;0;1;0
Pass 153;1:02:29,879;1:02:23,879;1:02:33,879;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;1;0
Pass 154;1:02:31,659;1:02:25,659;1:02:35,659;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;1;0;1;0
Pass 155;1:02:35,019;1:02:29,019;1:02:39,019;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 156;1:02:57,019;1:02:51,019;1:03:01,019;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 157;1:03:01,799;1:02:55,799;1:03:05,799;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 158;1:03:02,279;1:02:56,279;1:03:06,279;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 159;1:03:04,639;1:02:58,639;1:03:08,639;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 160;1:03:26,279;1:03:20,279;1:03:30,279;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;0;1;1;0
Pass 161;1:03:31,039;1:03:25,039;1:03:35,039;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 162;1:03:36,439;1:03:30,439;1:03:40,439;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;0;1
Pass 163;1:04:20,259;1:04:14,259;1:04:24,259;;15-laine S. ;0;0;0;1;0;0;0;0;0;1;0
Pass 164;1:04:21,319;1:04:15,319;1:04:25,319;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 165;1:04:22,959;1:04:16,959;1:04:26,959;;29-Haapalainen R. ;1;0;0;0;0;0;0;0;0;0;1
Pass 166;1:05:54,259;1:05:48,259;1:05:58,259;;4-Paappanen E. ;0;0;0;0;0;1;0;0;0;1;0
Pass 167;1:05:57,359;1:05:51,359;1:06:01,359;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 168;1:06:00,359;1:05:54,359;1:06:04,359;;4-Paappanen E. ;0;0;0;0;0;0;0;1;0;1;0
Pass 169;1:06:24,039;1:06:18,039;1:06:28,039;;10-Talvitie E. ;0;0;0;0;0;1;0;0;0;1;0
Pass 170;1:06:33,319;1:06:27,319;1:06:37,319;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;1;0
Pass 171;1:06:36,559;1:06:30,559;1:06:40,559;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 172;1:06:41,559;1:06:35,559;1:06:45,559;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;0;1
Pass 173;1:06:50,919;1:06:44,919;1:06:54,919;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 174;1:06:59,899;1:06:53,899;1:07:03,899;;6-Marshall P. ;0;0;0;0;0;0;0;1;0;1;0
Pass 175;1:07:04,839;1:06:58,839;1:07:08,839;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 176;1:07:58,839;1:07:52,839;1:08:02,839;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;0;1;1;0
Pass 177;1:08:03,319;1:07:57,319;1:08:07,319;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 178;1:08:31,299;1:08:25,299;1:08:35,299;;4-Paappanen E. ;0;0;0;0;0;1;0;0;0;1;0
Pass 179;1:08:37,099;1:08:31,099;1:08:41,099;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;1;0;1;0
Pass 180;1:08:38,659;1:08:32,659;1:08:42,659;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 181;1:08:40,179;1:08:34,179;1:08:44,179;;15-laine S. ;0;1;0;0;0;0;0;0;0;0;1
Pass 182;1:08:52,619;1:08:46,619;1:08:56,619;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;1;0
Pass 183;1:08:53,079;1:08:47,079;1:08:57,079;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 184;1:08:57,719;1:08:51,719;1:09:01,719;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;0;1
Pass 185;1:09:28,539;1:09:22,539;1:09:32,539;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 186;1:09:29,999;1:09:23,999;1:09:33,999;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;1;0
Pass 187;1:11:10,599;1:11:04,599;1:11:14,599;;9-Pinomaa A. ;1;0;0;0;0;0;0;0;0;1;0
Pass 188;1:11:14,759;1:11:08,759;1:11:18,759;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;0;1
Pass 189;1:11:29,459;1:11:23,459;1:11:33,459;;29-Haapalainen R. ;0;0;0;1;0;0;0;0;0;1;0
Pass 190;1:11:33,159;1:11:27,159;1:11:37,159;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 191;1:11:34,639;1:11:28,639;1:11:38,639;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 192;1:11:36,339;1:11:30,339;1:11:40,339;;29-Haapalainen R. ;1;0;0;0;0;0;0;0;0;0;1
Pass 193;1:11:46,599;1:11:40,599;1:11:50,599;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;1;0
Pass 194;1:11:49,639;1:11:43,639;1:11:53,639;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;0;1
Pass 195;1:11:58,379;1:11:52,379;1:12:02,379;;28-Rönni T. ;0;1;0;0;0;0;0;0;0;1;0
Pass 196;1:12:01,019;1:11:55,019;1:12:05,019;;9-Pinomaa A. ;0;0;1;0;0;0;0;0;0;0;1
Pass 197;1:12:31,999;1:12:25,999;1:12:35,999;;10-Talvitie E. ;0;0;0;0;1;0;0;0;0;0;1
Pass 198;1:12:52,039;1:12:46,039;1:12:56,039;;10-Talvitie E. ;0;0;0;0;1;0;0;0;0;0;1
Pass 199;1:13:04,239;1:12:58,239;1:13:08,239;;15-laine S. ;0;1;0;0;0;0;0;0;0;1;0
Pass 200;1:13:07,099;1:13:01,099;1:13:11,099;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;0;1
Pass 201;1:14:56,219;1:14:50,219;1:15:00,219;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 202;1:14:58,999;1:14:52,999;1:15:02,999;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;0;1
Pass 203;1:15:11,519;1:15:05,519;1:15:15,519;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 204;1:15:12,959;1:15:06,959;1:15:16,959;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 205;1:17:07,959;1:17:01,959;1:17:11,959;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;1;0
Pass 206;1:17:08,539;1:17:02,539;1:17:12,539;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 207;1:17:09,919;1:17:03,919;1:17:13,919;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 208;1:17:13,579;1:17:07,579;1:17:17,579;;6-Marshall P. ;1;0;0;0;0;0;0;0;0;0;1
Pass 209;1:18:31,619;1:18:25,619;1:18:35,619;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 210;1:18:35,119;1:18:29,119;1:18:39,119;;4-Paappanen E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 211;1:18:38,339;1:18:32,339;1:18:42,339;;30-Lehtinen Lassi ;0;0;0;0;0;0;0;1;0;1;0
Pass 212;1:18:40,879;1:18:34,879;1:18:44,879;;15-laine S. ;1;0;0;0;0;0;0;0;0;1;0
Pass 213;1:18:45,179;1:18:39,179;1:18:49,179;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;1;0
Pass 214;1:19:20,739;1:19:14,739;1:19:24,739;;30-Lehtinen Lassi ;1;0;0;0;0;0;0;0;0;1;0
Pass 215;1:19:26,159;1:19:20,159;1:19:30,159;;29-Haapalainen R. ;0;1;0;0;0;0;0;0;0;1;0
Pass 216;1:19:32,579;1:19:26,579;1:19:36,579;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 217;1:19:34,799;1:19:28,799;1:19:38,799;;8-O. Adawi ;1;0;0;0;0;0;0;0;0;1;0
Pass 218;1:19:36,659;1:19:30,659;1:19:40,659;;28-Rönni T. ;1;0;0;0;0;0;0;0;0;1;0
Pass 219;1:19:42,479;1:19:36,479;1:19:46,479;;29-Haapalainen R. ;0;0;1;0;0;0;0;0;0;0;1
Pass 220;1:20:37,499;1:20:31,499;1:20:41,499;;10-Talvitie E. ;0;0;0;0;0;1;0;0;0;1;0
Pass 221;1:22:30,749;1:22:24,749;1:22:34,749;;30-Lehtinen Lassi ;0;0;0;0;0;1;0;0;0;1;0
Pass 222;1:22:51,709;1:22:45,709;1:22:55,709;;5-Margaritidis Angelos Nikolaos ;1;0;0;0;0;0;0;0;0;0;1
Pass 223;1:22:58,039;1:22:52,039;1:23:02,039;;10-Talvitie E. ;1;0;0;0;0;0;0;0;0;1;0
Pass 224;1:23:01,329;1:22:55,329;1:23:05,329;;15-laine S. ;0;1;0;0;0;0;0;0;0;1;0
Pass 225;1:23:05,249;1:22:59,249;1:23:09,249;;24-Asikainen E. ;1;0;0;0;0;0;0;0;0;1;0
